episode,step,pos_x,pos_y,action,action_was_parsed,complexity,depth,reward,cumulative_depth,depth_budget_remaining,done,success
2,40,9,0,left,False,0.380646,0,-0.01,0,150,False,False
2,41,8,0,up,False,0.39898,0,-0.01,0,150,False,False
2,42,8,1,right,False,0.417313,0,-0.01,0,150,False,False
2,43,8,2,right,False,0.22898,0,-0.01,0,150,False,False
2,44,7,2,up,False,0.380646,0,-0.01,0,150,False,False
2,45,7,3,right,False,0.22898,0,-0.01,0,150,False,False
2,46,7,2,left,False,0.380646,0,-0.01,0,150,False,False
2,47,7,3,right,False,0.22898,0,-0.01,0,150,False,False
2,48,7,2,left,False,0.380646,0,-0.01,0,150,False,False
2,49,7,3,right,False,0.22898,0,-0.01,0,150,False,False
2,50,7,2,left,False,0.380646,0,-0.01,0,150,False,False
2,51,7,1,left,False,0.22898,0,-0.01,0,150,False,False
2,52,7,2,right,False,0.332313,0,-0.01,0,150,False,False
2,53,7,3,right,False,0.22898,0,-0.01,0,150,False,False
2,54,7,2,left,False,0.380646,0,-0.01,0,150,False,False
2,55,8,2,down,False,0.22898,0,-0.01,0,150,False,False
2,56,8,1,left,False,0.380646,0,-0.01,0,150,False,False
2,57,9,1,down,False,0.22898,0,-0.01,0,150,False,False
2,58,9,0,left,False,0.380646,0,-0.01,0,150,False,False
2,59,9,1,right,False,0.39898,0,-0.01,0,150,False,False
2,60,9,0,left,False,0.380646,0,-0.01,0,150,False,False
2,61,9,1,right,False,0.39898,0,-0.01,0,150,False,False
2,62,9,0,left,False,0.380646,0,-0.01,0,150,False,False
2,63,9,1,right,False,0.39898,0,-0.01,0,150,False,False
2,64,8,1,up,False,0.380646,0,-0.01,0,150,False,False
2,65,8,2,right,False,0.22898,0,-0.01,0,150,False,False
2,66,8,1,left,False,0.380646,0,-0.01,0,150,False,False
2,67,7,1,up,False,0.22898,0,-0.01,0,150,False,False
2,68,8,1,down,False,0.332313,0,-0.01,0,150,False,False
2,69,7,1,up,False,0.22898,0,-0.01,0,150,False,False
2,70,6,1,up,False,0.332313,0,-0.01,0,150,False,False
2,71,5,1,up,False,0.265646,0,-0.01,0,150,False,False
2,72,4,1,up,False,0.28398,0,-0.01,0,150,False,False
2,73,3,1,up,False,0.302313,0,-0.01,0,150,False,False
2,74,4,1,down,False,0.405646,0,-0.01,0,150,False,False
2,75,5,1,down,False,0.302313,0,-0.01,0,150,False,False
2,76,4,1,up,False,0.28398,0,-0.01,0,150,False,False
2,77,5,1,down,False,0.302313,0,-0.01,0,150,False,False
2,78,5,0,left,False,0.28398,0,-0.01,0,150,False,False
2,79,4,0,up,False,0.387313,0,-0.01,0,150,False,False
2,80,5,0,down,False,0.490646,0,-0.01,0,150,False,False
2,81,4,0,up,False,0.387313,0,-0.01,0,150,False,False
2,82,4,1,right,False,0.490646,0,-0.01,0,150,False,False
2,83,3,1,up,False,0.302313,0,-0.01,0,150,False,False
2,84,2,1,up,False,0.405646,0,-0.01,0,150,False,False
2,85,3,1,down,False,0.50898,0,-0.01,0,150,False,False
2,86,4,1,down,False,0.405646,0,-0.01,0,150,False,False
2,87,5,1,down,False,0.302313,0,-0.01,0,150,False,False
2,88,6,1,down,False,0.28398,0,-0.01,0,150,False,False
2,89,5,1,up,False,0.265646,0,-0.01,0,150,False,False
2,90,4,1,up,False,0.28398,0,-0.01,0,150,False,False
2,91,3,1,up,False,0.302313,0,-0.01,0,150,False,False
2,92,2,1,up,False,0.405646,0,-0.01,0,150,False,False
2,93,1,1,up,False,0.50898,0,-0.01,0,150,False,False
2,94,0,1,up,False,0.357313,0,-0.01,0,150,False,False
2,95,0,2,right,False,0.460646,0,-0.01,0,150,False,False
2,96,1,2,down,False,0.442313,0,-0.01,0,150,False,False
2,97,1,1,left,False,0.42398,0,-0.01,0,150,False,False
2,98,1,0,left,False,0.357313,0,-0.01,0,150,False,False
2,99,0,0,up,False,0.545646,0,-0.01,0,150,True,False
3,0,1,0,down,False,0.56398,0,-0.01,0,150,False,False
3,1,0,0,up,False,0.545646,0,-0.01,0,150,False,False
3,2,0,1,right,False,0.56398,0,-0.01,0,150,False,False
3,3,0,2,right,False,0.460646,0,-0.01,0,150,False,False
3,4,0,1,left,False,0.442313,0,-0.01,0,150,False,False
3,5,0,2,right,False,0.460646,0,-0.01,0,150,False,False
3,6,0,3,right,False,0.442313,0,-0.01,0,150,False,False
3,7,1,3,down,False,0.50898,0,-0.01,0,150,False,False
3,8,0,3,up,False,0.320646,0,-0.01,0,150,False,False
